variant_id,MII_2025Q2,Auctions_2025Q2,MII_2025Q3,Auctions_2025Q3,Pct_Change,make,Abs_Change
Dodge CHARGER GEN_OTHER,29.40835635265918,1,66.61157404744712,3,126.50560013845835,Dodge,37.20321769478794
Dodge CHARGER GEN_OTHER,29.40835635265918,1,62.945396773899496,5,114.03915274648736,Dodge,33.53704042124032
Dodge CHARGER GEN_OTHER,29.40835635265918,1,59.893858092339975,5,103.66271876641014,Dodge,30.485501739680796
Dodge CHARGER GEN_OTHER,29.40835635265918,1,36.078695857118326,3,22.681782771093214,Dodge,6.670339504459147
Dodge CHARGER GEN_OTHER,27.167862745011064,1,66.61157404744712,3,145.18518321681103,Dodge,39.44371130243606
Dodge CHARGER GEN_OTHER,27.167862745011064,1,62.945396773899496,5,131.69064627823326,Dodge,35.77753402888843
Dodge CHARGER GEN_OTHER,27.167862745011064,1,59.893858092339975,5,120.45848307790979,Dodge,32.72599534732891
Dodge CHARGER GEN_OTHER,27.167862745011064,1,36.078695857118326,3,32.79916861970893,Dodge,8.910833112107262
Ford FAIRLANE GEN_OTHER,48.72633428514675,1,47.0202029207742,15,-3.501456428854788,Ford,-1.7061313643725455
MG MG TF GEN_OTHER,48.676435073831804,1,41.74693396991192,5,-14.235843470067811,MG,-6.929501103919883
MG MG MIDGET GEN_OTHER,48.66437835744384,1,41.47172978014474,2,-14.780109846402443,MG,-7.192648577299096
MG MG MIDGET GEN_OTHER,48.66437835744384,1,37.925521999209344,6,-22.067180801852057,MG,-10.738856358234493
MG MG MIDGET GEN_OTHER,19.037684565125605,1,41.47172978014474,2,117.8401981515924,MG,22.434045215019136
MG MG MIDGET GEN_OTHER,19.037684565125605,1,37.925521999209344,6,99.21289203774096,MG,18.88783743408374
BMW E82/E88 1-SERIES GEN_OTHER,48.50232800779123,2,52.36598018865314,9,7.9659107914186515,BMW,3.863652180861912
BMW Z3 GEN_OTHER,48.479645878709164,2,55.070611978781216,9,13.595326410927045,BMW,6.590966100072052
BMW Z3 GEN_OTHER,48.479645878709164,2,51.8322788312569,13,6.91554752882408,BMW,3.3526329525477365
BMW Z3 GEN_OTHER,42.825278721669285,5,55.070611978781216,9,28.59370358497137,BMW,12.24533325711193
BMW Z3 GEN_OTHER,42.825278721669285,5,51.8322788312569,13,21.031970785586825,BMW,9.007000109587615
Buick BUICK GRAN SPORT GEN_OTHER,48.460277835110496,1,64.55989709488156,1,33.22230077704291,Buick,16.099619259771067
Buick BUICK GRAN SPORT GEN_OTHER,48.460277835110496,1,48.54354240256228,1,0.17182024365419127,Buick,0.0832645674517849
BMW E28 5-SERIES GEN_UNKNOWN,48.43786050792982,4,25.02964926080264,1,-48.32626999141507,BMW,-23.40821124712718
Mercedes-Benz CLS55 AMG W203,48.421012055676314,1,52.06447902718852,2,7.524557659643312,Mercedes-Benz,3.643466971512204
BMW Z4 M ROADSTER GEN_OTHER,48.413553282318844,2,61.301894999991674,6,26.621350518347082,BMW,12.88834171767283
BMW M3 E36,48.2659644912796,4,70.47004815617322,33,46.00360502255233,BMW,22.204083664893624
Porsche 968 GEN_OTHER,48.22271792435292,1,61.68332963023437,8,27.91342397373192,Porsche,13.460611705881448
BMW M5 E60,48.1710564520713,1,70.81941827919749,10,47.016535436918666,BMW,22.648361827126195
Ford F-150 GEN_OTHER,48.15698529374429,4,56.17028275255457,3,16.639948306421967,Ford,8.013297458810278
Ford F-150 GEN_OTHER,48.15698529374429,4,52.50504180448339,2,9.028921732158183,Ford,4.348056510739099
Ford F-150 GEN_OTHER,48.15698529374429,4,43.17670597966448,8,-10.34175890309886,Ford,-4.980279314079809
Ford F-150 GEN_OTHER,30.26850012201889,1,56.17028275255457,3,85.57339321776757,Ford,25.90178263053568
Ford F-150 GEN_OTHER,30.26850012201889,1,52.50504180448339,2,73.4642998259715,Ford,22.2365416824645
Ford F-150 GEN_OTHER,30.26850012201889,1,43.17670597966448,8,42.64567390392592,Ford,12.908205857645594
Ford F-150 GEN_OTHER,24.07829006516387,1,56.17028275255457,3,133.2818593037092,Ford,32.0919926873907
Ford F-150 GEN_OTHER,24.07829006516387,1,52.50504180448339,2,118.0596780850603,Ford,28.42675173931952
Ford F-150 GEN_OTHER,24.07829006516387,1,43.17670597966448,8,79.3179908656883,Ford,19.098415914500613
Toyota LAND CRUISER 80-SERIES GEN_OTHER,48.0298354066683,4,64.0225165582474,36,33.29738904197606,Toyota,15.992681151579106
Audi B7 RS4 GEN_OTHER,47.76581396017012,3,57.84365803162336,6,21.09844517641158,Audi,10.077844071453242
Dodge DART GEN_OTHER,47.73731909484275,2,82.77051191190023,1,73.38743247699942,Dodge,35.033192817057476
Dodge DART GEN_OTHER,47.73731909484275,2,47.176464421525054,5,-1.1748767713650066,Dodge,-0.5608546733176993
Mercedes-Benz CLK63 AMG CABRIOLET W204,47.507526275515524,1,59.59448609939837,3,25.44219994487954,Mercedes-Benz,12.086959823882843
Alfa Romeo 750/101 SERIES GIULIETTA & GIULIA GEN_OTHER,47.41210793873561,1,54.95110626050298,13,15.900997971887312,Alfa Romeo,7.538998321767373
Auburn AUBURN REPLICA GEN_OTHER,47.33974307069863,1,33.44721669944666,1,-29.346433820953443,Auburn,-13.892526371251968
Chevrolet SUBURBAN (GMT900 2007-2014) GEN_OTHER,47.324761878801155,1,54.25300731144886,2,14.639789314505084,Chevrolet,6.9282454326477065
Ford EXCURSION GEN_OTHER,47.27625678126994,6,59.79758106477238,16,26.48543927966644,Ford,12.521324283502437
Ford EXCURSION GEN_OTHER,47.27625678126994,6,19.412277848735837,1,-58.938631841033036,Ford,-27.863978932534106
Lexus LS GEN_OTHER,47.268807075134944,1,40.45935698894432,2,-14.40580058508105,Lexus,-6.809450086190623
Ford SUPER DUTY 2017-2022 GEN_OTHER,47.25037804666054,2,49.48995167302223,3,4.739800439586056,Ford,2.2395736263616897
Morgan MORGAN 3-WHEELER GEN_OTHER,47.24039966149111,1,48.627797183413094,3,2.936887773735212,Morgan,1.387397521921983
Morgan MORGAN 3-WHEELER GEN_OTHER,47.24039966149111,1,27.39876353078875,1,-42.00141462155461,Morgan,-19.841636130702362
Lincoln LINCOLN ZEPHYR GEN_OTHER,47.1633082986558,1,55.88719158943364,3,18.4971826733081,Lincoln,8.723883290777842
Toyota SW20 MR2 GEN_OTHER,47.05480931203797,2,49.54351335225257,4,5.288947243864228,Toyota,2.4887040402146
Jaguar X350/X356/X358 XJ GEN_OTHER,46.986812540606294,1,33.80121510430115,5,-28.062336479858196,Jaguar,-13.185597436305144
Mini MINI MK VI & MK VII GEN_OTHER,46.93779248331618,1,73.59262912685121,1,56.787580398054224,Mini,26.654836643535027
Mini MINI MK VI & MK VII GEN_OTHER,46.93779248331618,1,61.67794791637464,2,31.403597513235805,Mini,14.740155433058462
BMW E63 GEN_OTHER,46.90114680495714,4,49.47251906524869,27,5.482536004897368,BMW,2.5713722602915468
Puch PUCH G GEN_OTHER,46.790398005309214,1,43.353347234511986,1,-7.345632688158012,Puch,-3.437050770797228
Chevrolet CAMARO 5TH GENERATION 2010-2015 GEN_OTHER,46.789613696647685,1,54.949628334256374,7,17.439799119763467,Chevrolet,8.16001463760869
Chevrolet CAMARO 5TH GENERATION 2010-2015 GEN_OTHER,46.789613696647685,1,42.37565810033763,2,-9.433622651657622,Chevrolet,-4.413955596310053
Dodge VIPER SR I GEN_OTHER,46.71438301943767,2,73.56364072990719,13,57.47535550089071,Dodge,26.849257710469523
Toyota FJ CRUISER GEN_OTHER,46.58125615167732,5,65.65262096426368,21,40.9421436607171,Toyota,19.071364812586353
Volkswagen VOLKSWAGEN BEETLE GEN_OTHER,46.543821190005055,7,47.94057968250594,31,3.0009536320598236,Volkswagen,1.3967584925008865
Volkswagen VOLKSWAGEN BEETLE GEN_OTHER,46.543821190005055,7,42.631833517165624,12,-8.404955959394888,Volkswagen,-3.9119876728394303
Ford A PICKUP & AA GEN_OTHER,46.39940383615824,1,34.5121033725486,4,-25.61951120231005,Ford,-11.887300463609641
MG MG TD GEN_OTHER,46.3588553744348,2,49.36663858334876,8,6.4880445917408,MG,3.0077832089139562
Toyota AW11 MR2 GEN_OTHER,46.34536312951414,1,58.411803292107486,3,26.03591675152733,Toyota,12.066440162593345
Porsche 944 TURBO GEN_OTHER,46.146483593956525,3,64.97055750475114,18,40.792000700265426,Porsche,18.824073910794617
Nissan PICKUP GEN_OTHER,45.929484395248814,1,57.977881096225246,5,26.23237961326381,Nissan,12.048396700976433
Nissan PICKUP GEN_OTHER,45.929484395248814,1,40.44974221736847,1,-11.930772248005468,Nissan,-5.479742177880347
Nissan PICKUP GEN_OTHER,45.929484395248814,1,27.57264005788128,1,-39.96745136391399,Nissan,-18.356844337367534
Nissan PICKUP GEN_OTHER,30.613426992949936,1,57.977881096225246,5,89.38709837868579,Nissan,27.36445410327531
Nissan PICKUP GEN_OTHER,30.613426992949936,1,40.44974221736847,1,32.130722335280424,Nissan,9.83631522441853
Nissan PICKUP GEN_OTHER,30.613426992949936,1,27.57264005788128,1,-9.93285376305282,Nissan,-3.040786935068656
Lotus EVORA GEN_OTHER,45.88560710295241,1,60.10781337562147,4,30.994917950543922,Lotus,14.222206272669055
Cadillac CADILLAC ATS & ATS-V GEN_OTHER,45.8004584771756,1,33.026110099797094,1,-27.891311139919114,Cadillac,-12.774348377378509
TVR TVR VIXEN GEN_OTHER,45.73447093279046,1,60.16294665918424,1,31.548360420736678,TVR,14.428475726393785
Toyota LAND CRUISER 60-SERIES GEN_OTHER,45.71802151129533,6,68.0731787008309,27,48.89791038750962,Toyota,22.35515718953556
BMW 4 SERIES GEN_OTHER,45.70126247417068,1,27.44036017560923,1,-39.95710689367083,BMW,-18.260902298561454
Aston Martin DB11 GEN_OTHER,45.61373753061553,1,56.669800304395416,3,24.23844958190316,Aston Martin,11.056062773779885
MG MG MGA GEN_OTHER,45.60564975532872,1,50.736163904279515,22,11.249733698512491,MG,5.130514148950795
Ford F-SERIES 1973-1979 GEN_OTHER,45.507169978217085,12,64.767606359778,47,42.32395991836079,Ford,19.260436381560915
Ford F-150 SVT LIGHTNING GEN_OTHER,45.42711649432247,1,72.35231506529881,5,59.2712033006574,Ford,26.92519857097634
Ford F-150 SVT LIGHTNING GEN_OTHER,45.42711649432247,1,48.72893855301558,3,7.268394548233713,Ford,3.301822058693112
Ford F-150 SVT LIGHTNING GEN_OTHER,22.5966843270831,1,72.35231506529881,5,220.1899624653403,Ford,49.755630738215714
Ford F-150 SVT LIGHTNING GEN_OTHER,22.5966843270831,1,48.72893855301558,3,115.64641010013955,Ford,26.13225422593248
"Vespa VESPA ET, LX, GT, PX, & SEI GEN_OTHER",45.40177318939726,1,26.324280441686643,4,-42.01926798789835,Vespa,-19.077492747710618
Mercedes-Benz C140 GEN_OTHER,45.38861233169241,1,43.84221514200728,2,-3.407015791503644,Mercedes-Benz,-1.5463971896851305
BMW M5 F10,45.363115024304776,1,50.948873873492396,4,12.313437571901458,BMW,5.58575884918762
BMW M5 F10,45.363115024304776,1,38.50910775760486,2,-15.10920769666646,BMW,-6.854007266699917
Audi C8 RS6 GEN_OTHER,45.31909837149997,1,70.16414197762018,6,54.822457857512504,Audi,24.845043606120207
Toyota CAMRY GEN_OTHER,45.224461612573,2,46.328446981373496,4,2.4411244035541406,Toyota,1.103985368800494
Toyota CAMRY GEN_OTHER,45.224461612573,2,43.20033167180722,5,-4.475741376660296,Toyota,-2.024129940765782
BMW E46 3-SERIES SEDAN GEN_UNKNOWN,45.22310993924418,2,24.574743357338573,1,-45.65888239363909,BMW,-20.64836658190561
Ford F-SERIES 1992-1997 GEN_OTHER,45.18603183645308,12,55.270051376609246,57,22.316674269283915,Ford,10.084019540156163
BMW E92/E93 3-SERIES COUPE & CONVERTIBLE GEN_OTHER,45.071147751703556,4,51.50756427770702,12,14.280569382128027,BMW,6.4364165260034625
Oldsmobile OLDSMOBILE 442 GEN_OTHER,45.04664767285849,1,83.98727964424124,4,86.44512740255533,Oldsmobile,38.94063197138275
Oldsmobile OLDSMOBILE 442 GEN_OTHER,45.04664767285849,1,45.98012448816661,4,2.0722448029591267,Oldsmobile,0.9334768153081185
Porsche 944 GEN_OTHER,45.02256460179237,3,56.52933741783174,22,25.557790671882966,Porsche,11.506772816039373
McLaren SUPER SERIES GEN_OTHER,44.995842704450766,1,69.40962718379883,4,54.25786697608217,McLaren,24.413784479348067
Ford F-SERIES 1957-1960 GEN_OTHER,44.943492317560256,1,26.068033350242377,4,-41.99820261840864,Ford,-18.87545896731788
Chrysler CHRYSLER CORDOBA GEN_OTHER,44.88185927998531,1,23.08683549844311,2,-48.56087544319161,Chrysler,-21.795023781542202
Dodge VIPER GEN_OTHER,44.824180702623806,1,75.74246867396954,5,68.9768055694455,Dodge,30.918287971345734
Dodge VIPER GEN_OTHER,44.824180702623806,1,56.758447807874674,7,26.624618494259035,Dodge,11.934267105250868
Parts and Automobilia PARTS AND AUTOMOBILIA – RACING SIMULATORS GEN_UNKNOWN,44.730215012955185,5,70.93494152100428,3,58.58394935159474,Parts and Automobilia,26.20472650804909
Mazda RX-7 FB GEN_OTHER,44.65778513013476,1,54.47573641418418,13,21.984859426949807,Mazda,9.817951284049421
Triumph TRIUMPH TR6 GEN_OTHER,44.638053201428825,1,58.0360543394402,27,30.014752385264227,Triumph,13.398001138011374
Triumph TRIUMPH TR6 GEN_OTHER,44.638053201428825,1,41.069695524302,2,-7.993981415418463,Triumph,-3.5683576771268264
Triumph TRIUMPH TR6 GEN_OTHER,30.08039017921577,1,58.0360543394402,27,92.93650778353457,Triumph,27.95566416022443
Triumph TRIUMPH TR6 GEN_OTHER,30.08039017921577,1,41.069695524302,2,36.53312101210495,Triumph,10.98930534508623
Honda S2000 AP1,44.62558154636977,1,38.78796735570791,1,-13.081317908644133,Honda,-5.83761419066186
Lexus LX450 GEN_OTHER,44.44609630106295,1,49.9555806660139,6,12.395879106303397,Lexus,5.50948436495095
Mercedes-Benz CL-CLASS W203,44.437914767872115,1,35.144637910139636,4,-20.9129454122167,Mercedes-Benz,-9.29327685773248
Pontiac PONTIAC GRAND PRIX GEN_OTHER,44.32661544002701,1,41.97808439711358,2,-5.298241292730661,Pontiac,-2.348531042913436
Pontiac PONTIAC GRAND PRIX GEN_OTHER,44.32661544002701,1,30.17622032361703,2,-31.923021814185592,Pontiac,-14.150395116409982
Pontiac PONTIAC GRAND PRIX GEN_OTHER,44.32661544002701,1,18.464446921138695,2,-58.34455949807242,Pontiac,-25.862168518888318
Mercedes-Benz 190E 2.3-16 & 2.5-16 GEN_OTHER,44.24216117098609,1,65.36215513594915,4,47.73725651271645,Mercedes-Benz,21.119993964963065
Chevrolet ASTRO GEN_OTHER,44.11619744560574,1,58.457641936168095,3,32.50834233445669,Chevrolet,14.341444490562353
Dodge RAM HD GEN_OTHER,43.99741136374667,2,65.84104758695226,1,49.64754867647617,Dodge,21.843636223205586
Dodge RAM HD GEN_OTHER,43.99741136374667,2,57.193153344663486,11,29.992087197634415,Dodge,13.195741980916814
Dodge RAM HD GEN_OTHER,43.99741136374667,2,51.96932866091579,8,18.119059849366234,Dodge,7.971917297169121
Dodge RAM HD GEN_OTHER,43.99741136374667,2,44.61978089683828,1,1.4145594338407648,Dodge,0.6223695330916073
Dodge RAM HD GEN_OTHER,28.082267882196643,2,65.84104758695226,1,134.45772920887777,Dodge,37.75877970475561
Dodge RAM HD GEN_OTHER,28.082267882196643,2,57.193153344663486,11,103.66287218890294,Dodge,29.110885462466843
Dodge RAM HD GEN_OTHER,28.082267882196643,2,51.96932866091579,8,85.06101031057705,Dodge,23.88706077871915
Dodge RAM HD GEN_OTHER,28.082267882196643,2,44.61978089683828,1,58.889520903423715,Dodge,16.537513014641636
Dodge RAM HD GEN_OTHER,24.761759334257302,1,65.84104758695226,1,165.89809996199557,Dodge,41.07928825269495
Dodge RAM HD GEN_OTHER,24.761759334257302,1,57.193153344663486,11,130.97370656348363,Dodge,32.43139401040618
Dodge RAM HD GEN_OTHER,24.761759334257302,1,51.96932866091579,8,109.87736759486822,Dodge,27.20756932665849
Dodge RAM HD GEN_OTHER,24.761759334257302,1,44.61978089683828,1,80.19632730662994,Dodge,19.858021562580976
Buick BUICK RIVIERA GEN_OTHER,43.92512791315139,1,54.755742350957526,8,24.656990092824287,Buick,10.830614437806133
Buick BUICK RIVIERA GEN_OTHER,43.92512791315139,1,43.232182413285706,5,-1.577560573610112,Buick,-0.6929454998656865
Buick BUICK RIVIERA GEN_OTHER,32.97356354470424,1,54.755742350957526,8,66.05952303796913,Buick,21.782178806253285
Buick BUICK RIVIERA GEN_OTHER,32.97356354470424,1,43.232182413285706,5,31.111647531432993,Buick,10.258618868581465
Ford HOT ROD GEN_OTHER,43.802509504390116,5,51.57833016644057,14,17.751998116160728,Ford,7.775820662050457
